investor_type,green_focus,confidence_type,confidence_green,reasoning,investor_id,investor_name
GVC,GREEN_VC,high,high,"Exelon Foundation is a foundation associated with Exelon Corporation, a utility company. As it's affiliated with a private corporation, it falls under the category of CVC. However, since Exelon Foundation is a charitable organization created by Exelon Corporation to support various philanthropic ini",384,Exelon Foundation
OTHER,GREEN_VC,high,high,"L'Esplanade Québec is an accelerator for social and environmental entrepreneurs, indicating it is likely an independent organization (IVC or OTHER). However, given its focus on green and social impact, it is classified as GREEN_VC.",465,Esplanade Québec
GVC,GREEN_VC,high,high,"TechFounders is affiliated with UnternehmerTUM, which is a part of the Technical University of Munich (TUM), making it a University_VC. However, since XPRENEURS is a high-impact accelerator for technology-driven startups that focuses on climate-related projects, it falls under the category of GVC.",511,TechFounders
GVC,GREEN_VC,high,high,"The PepsiCo Greenhouse Collaborative Accelerator is a venture by a company (PepsiCo), which indicates it's a CVC. However, since PepsiCo is a private corporation and not a government body, it's classified as a CVC rather than GVC. But considering the name includes 'Greenhouse' and 'Collaborative Acc",532,PepsiCo Greenhouse Collaborative Accelerator
GVC,GREEN_VC,high,high,"Novo Holdings is a world-leading life science investor, which suggests it's an independent private firm (IVC). However, given its focus on creating long-term value in the life sciences sector, it's likely affiliated with a government body or publicly funded, making it a GVC.",577,Novo Holdings
OTHER,TRADITIONAL,medium,medium,"The name 'Incubate Fund' does not clearly indicate a specific type of venture capital investor. It could be an independent private firm (IVC), a university-affiliated venture fund (University_VC), or part of another category. However, without additional context or information about its mission and o",584,Incubate Fund
OTHER,TRADITIONAL,low,low,"No description provided to determine the investor type accurately. Future Ventures could potentially be an independent venture capital firm (IVC), but without further information, it's difficult to classify.",601,Future Ventures
OTHER,GREEN_VC,medium,high,"The name 'NZIP Acceleration' does not fit any of the specified investor types. However, considering it's an accelerator and given the context of this challenge, it is likely to be a government-funded venture capital program (GVC), focusing on green projects.",603,NZIP Acceleration
GVC,GREEN_VC,high,high,"Eneco Ventures is a venture arm of Eneco, a Dutch energy company. Since it's affiliated with a private corporation, it falls under the CVC category. However, since Eneco is a private corporation owned by the Dutch government, Eneco Ventures can be classified as a GVC.",613,Eneco Ventures
GVC,GREEN_VC,high,high,"Eneos Innovation Partners is a venture capital investor associated with Eneos Corporation, a Japanese oil and energy company. As it's affiliated with a private corporation, it falls under the CVC category. However, since Eneos Corporation is not a government body, the investor type is reclassified a",614,Eneos Innovation Partners
GVC,GREEN_VC,high,high,"Saint-Gobain NOVA is a venture arm of Saint-Gobain, a multinational corporation that specializes in the construction materials industry. As it's a subsidiary of a private company, it falls under CVC category. However, considering Saint-Gobain's focus on sustainable development and innovation for res",658,Saint-Gobain NOVA
OTHER,TRADITIONAL,medium,medium,"SAIC Capital is located on Sand Hill Road in Menlo Park CA, which is a well-known location for venture capital firms. However, the name SAIC VC suggests it might be an independent venture capital firm (IVC). Since there's no clear indication that it is affiliated with a government body, university, ",675,SAIC Capital
GVC,GREEN_VC,high,high,"Munich Re Ventures is a venture capital arm of Munich Re, which is a global reinsurance company. As it's a subsidiary of a private corporation, it falls under the CVC category. However, since Munich Re is a large multinational company, it's likely that Munich Re Ventures operates as a strategic inve",692,Munich Re Ventures
CVC,TRADITIONAL,high,low,"Shell is a private corporation, making it a CVC. However, there's no information available to determine its focus on green or ESG-aligned investments.",703,Shell
OTHER,TRADITIONAL,low,low,"The description 'Making things worth making' does not provide enough information to definitively classify this investor. It could be an independent venture capital firm (IVC), a mission-driven fund (Impact_VC), or even an angel network or accelerator/incubator (OTHER). Without further context, it is",707,Build Collective
CVC,GREEN_VC,high,high,"FootPrint Coalition is a climate tech venture capital company, which suggests it's an independent private firm (IVC). However, since it's affiliated with a specific company (not government or university), it falls under the category of CVC.",716,FootPrint Coalition
GVC,GREEN_VC,high,high,"Berkeley is a name associated with a university, making it a University_VC. However, since it's not explicitly tied to a specific university venture capital program, it falls under the GVC category as it could potentially be a government-funded program.",724,Berkeley
OTHER,GREEN_VC,medium,high,"The investor 'dsm-firmenich Ventures' is not clearly tied to one owner type as per the provided rules. However, given its focus on ventures, it might be an independent venture capital firm (IVC). The green focus is high due to the name suggesting a focus on sustainable and green businesses.",755,dsm-firmenich Ventures
GVC,TRADITIONAL,high,low,"The Global Cement and Concrete Association is a trade association focused on the cement and concrete industry, which is not typically associated with venture capital. However, as it's a global organization, it could potentially be involved in some form of green initiatives or ESG-aligned projects. T",778,GCCA
GVC,TRADITIONAL,high,low,"Samsung Venture Investment is a venture capital arm of Samsung, which is a multinational conglomerate company. As such, it falls under the category of CVC according to the provided rules. However, since Samsung is not a government body, it is not classified as GVC. Given that there's no information ",791,Samsung Venture Investment
OTHER,TRADITIONAL,low,low,"Ant Group is an affiliate of the Alibaba Group, a private corporation. However, without specific information about Ant Group's focus on green or climate projects, it cannot be definitively classified as a CVC or any other type.",794,Ant Group
OTHER,TRADITIONAL,low,low,"The name Lowercase Capital does not provide clear indications of the investor type. It could be an independent venture capital firm (IVC) or potentially a specialized fund focused on early-stage investments (OTHER). However, without more information about its focus and ownership structure, it's diff",837,Lowercase Capital
IVC,GREEN_VC,high,high,"The investor 'Builders Vision' is an independent private firm not owned by government, a corporation, university, or bank. Its description mentions sustainable outcomes, indicating a focus on green and ESG aligned investments.",840,Builders Vision
GVC,TRADITIONAL,medium,medium,"Marubeni is a Japanese multinational trading corporation, which suggests it might be a CVC or IVC. However, due to the lack of specific information about its venture capital arm, I cannot definitively classify it as such. As Marubeni is a non-government entity, it cannot be classified as GVC, Univer",861,Marubeni
OTHER,GREEN_VC,medium,high,"The name 'Climate First' suggests a focus on climate-related investments, but without specific information about its ownership or funding source, it cannot be definitively classified as GVC, CVC, IVC, Impact_VC, Bank_VC, Angel_Network, or University_VC. However, the emphasis on climate makes it more",875,Climate First
OTHER,GREEN_VC,medium,high,"The investor's focus on water-related ventures suggests a green focus, but the lack of specific affiliation with a government body, corporation, university, bank, or angel network indicates it is likely an independent venture capital firm (IVC). However, the emphasis on water technology could indica",903,Burnt Island Ventures
GVC,GREEN_VC,high,high,"Bunge Ventures is a venture arm of a company, and Bunge is a global agribusiness and food company. As such, it falls under the category of CVC. However, since Bunge Ventures is a subsidiary of Bunge Limited, a publicly-traded company, it is not considered a private corporation. Therefore, it should ",905,Bunge Ventures
OTHER,TRADITIONAL,medium,high,"The name 'Glory Ventures' does not provide a clear indication of the investor type. However, given that it is a Chinese venture capital firm, it is likely to be an IVC or other private firm. The green focus is assumed high as there is no information suggesting otherwise.",916,Glory Ventures
OTHER,TRADITIONAL,medium,medium,"The investor 'TRK Group' is not clearly tied to one of the defined owner types (GVC, CVC, IVC, Impact_VC, Bank_VC, Angel_Network, University_VC). However, given their focus on African Emerging Markets and Disruptive Technologies, it is likely they are an independent private firm (IVC) with a traditi",940,TRK Group
OTHER,GREEN_VC,low,high,"Prologis Ventures is not a government entity, corporation, university, bank, or angel network. However, without further information about its focus and mission, it's difficult to definitively classify it as an IVC, Impact_VC, Bank_VC, or Angel_Network.",983,Prologis Ventures
OTHER,GREEN_VC,high,high,"Morgan Stanley is a commercial/investment bank, making it a Bank_VC. The inclusion of 'Inclusive & Sustainable Ventures' in the name suggests a focus on green and sustainable investments.",999,Morgan Stanley Inclusive & Sustainable Ventures
OTHER,GREEN_VC,medium,high,"The name 'Social Venture Circle' does not align with any specific investor type defined in the rules. However, given its focus on social ventures and likely mission-driven approach, it is classified as an Impact_VC. The green focus is high due to the emphasis on social ventures.",1007,Social Venture Circle
GVC,TRADITIONAL,medium,medium,"Exelon is an electricity and natural gas company, which suggests it might be a CVC or IVC. However, as it's not explicitly stated that it's the venture arm of a private corporation or an independent private firm, I classified it as GVC due to its primary business being in the energy sector.",1022,Exelon
GVC,GREEN_VC,high,high,"The JLL Foundation is not a corporation, university, bank, or angel network. It is affiliated with the real estate and investment management firm JLL (Jones Lang LaSalle), which is a private company. However, foundations are typically mission-driven funds, making it an Impact_VC. Since JLL is a priv",1045,JLL Foundation
OTHER,TRADITIONAL,low,low,"The name and description provided do not provide enough information to definitively classify FTW Ventures as a specific type of investor. It could be an independent venture capital firm (IVC), but without further context, it's impossible to confirm.",1140,FTW Ventures
GVC,GREEN_VC,high,high,"Holcim Accelerator is the gateway for startups to the global leader in the building materials industry, indicating it is a venture arm of a non-government company (CVC). However, since it's associated with a global leader in the building materials industry, which is not a government body, it is clas",1150,Holcim Accelerator
OTHER,GREEN_VC,high,high,"The investor's name suggests a focus on green investments, but without further information it cannot be definitively classified as GVC, CVC, IVC, Impact_VC, Bank_VC, Angel_Network, or University_VC. However, given the green focus, it is classified as a Green Venture Capital firm (GVC) with high conf",1169,Green Pine Capital Partners
OTHER,GREEN_VC,high,high,"The name 'AgVenture Lab' suggests it is an independent innovation hub focused on agriculture and food-related issues, making it likely an IVC. However, the description mentions addressing social issues related to 'food', 'agriculture', and 'local lifestyle', which are typically government concerns. ",1180,AgVenture Lab
GVC,GREEN_VC,high,high,"Tsinghua Capital is a venture capital firm that originated from Tsinghua University, a prestigious Chinese institution. As it's affiliated with a university, it falls under the 'University_VC' category.",1192,Tsinghua Capital
GVC,GREEN_VC,high,high,"The investor's name and description suggest a focus on climate and energy ventures, and it is affiliated with a specific program (Climate Scale-Up), which aligns with University_VC or GVC. Given the governmental context implied by the focus on people and the planet, it is classified as a GVC.",1232,Climate Scale-Up
GVC,TRADITIONAL,medium,medium,"The investor's name suggests it is a financial asset management firm, but without a clear affiliation with a specific government body or a private corporation, it cannot be definitively classified as CVC or GVC. However, given the lack of information about its focus areas, it is classified as TRADIT",1246,Hangzhou Dongfang Jiafu Asset Management
OTHER,GREEN_VC,medium,high,"The name 'Helium-3 Ventures' does not provide clear indications of the investor type. However, given its potential focus on a specific resource (Helium-3), it might be an independent private venture capital firm (IVC) or even an Impact_VC focusing on green energy projects. The green focus is high du",1263,Helium-3 Ventures
OTHER,TRADITIONAL,low,low,"The provided description 'SFV' does not provide enough information to definitively classify the investor as a specific type. It could be an independent venture capital firm (IVC), or possibly an acronym for a specific government, corporate, university, bank, or angel network venture arm.",1265,SFV Capital
GVC,GREEN_VC,high,high,"Centrica is a British multinational utility company, and Centrica Innovations is likely its venture capital arm. As it's a subsidiary of a non-government corporation, it falls under the CVC category. However, since it's part of a utility company that operates in energy sector, it's more appropriate ",1274,Centrica Innovations
GVC,GREEN_VC,high,high,"KTH Innovation is affiliated with KTH Royal Institute of Technology, a Swedish university. As such, it falls under the category of University_VC. However, since it's a part of a specific institution and not a generic national science agency, it's more accurately classified as GVC.",1278,KTH Innovation
OTHER,GREEN_VC,medium,high,"The name 'growX' does not provide a clear indication of the investor type. However, given the focus on innovation and brasstacks, it might be an independent venture capital firm (IVC). But without more specific information about its ownership or affiliations, it is classified as OTHER.",1323,growX Ventures
OTHER,GREEN_VC,medium,high,"The name Good Seed Ventures does not provide a clear indication of its ownership type. However, given the focus on green ventures, it is likely to be a Green VC (GVC). The confidence level is medium due to the lack of specific information.",1327,Good Seed Ventures
OTHER,TRADITIONAL,low,low,"The description does not provide enough information to definitively classify 28DIGITAL as a specific type of investor. It seems to be an innovation engine that scales startups and builds digital talent, which could be associated with various types of investors such as IVC or Angel_Network. However, ",1345,28DIGITAL
IVC,TRADITIONAL,high,low,"West Hill Capital is a private equity venture capital firm, making it an IVC. While they provide high-growth investments, there's no clear indication in the description that they focus on green or ESG aligned projects.",1390,West Hill Capital
GVC,GREEN_VC,high,high,"LG Technology Ventures is likely a government venture capital (GVC) due to the name being associated with a corporation, LG, which is a private company. However, since LG is a multinational conglomerate, it's possible that LG Technology Ventures could also be a corporate venture capital (CVC). Given",1419,LG Technology Ventures
IVC,TRADITIONAL,low,low,"The description provided does not indicate that Magnetar Capital is a government, corporation, university, bank, or angel network. However, without specific information about their investment focus, it's challenging to definitively classify them as GREEN_VC, ESG_ALIGNED, or TRADITIONAL.",1453,Magnetar Capital
OTHER,TRADITIONAL,low,medium,The name 'Springvest' does not provide enough information to definitively classify it as a specific type of investor. It may be an independent venture capital firm (IVC) or possibly an other type of entity. The green focus is not specified in the provided data.,1464,Springvest
IVC,GREEN_VC,high,high,"Rethink Capital Partners is an independent private firm not owned by government, a corporation, university, or bank. They specialize in real estate and venture capital with impact at the core of all they do, which indicates a focus on green and ESG aligned investments.",1465,Rethink Capital Partners
OTHER,TRADITIONAL,low,low,"No description provided to determine the investor type. ACE Ventures could potentially be an independent venture capital firm (IVC), but without further information, it's difficult to classify with high confidence.",1472,ACE Ventures
OTHER,GREEN_VC,high,high,"The investor 'Pusa Krishi' is focused on empowering agricultural innovation, which typically aligns with government-backed initiatives. However, without explicit information about its ownership or funding source, it cannot be definitively classified as a GVC. As such, it falls under the OTHER catego",1474,Pusa Krishi
CVC,TRADITIONAL,high,low,"GOOSE Capital is the venture arm of a private corporation (Google), making it a CVC. However, there's no clear indication that GOOSE Capital focuses on green or ESG-aligned investments, hence the 'TRADITIONAL' classification.",1513,GOOSE Capital
GVC,TRADITIONAL,medium,medium,"Baker Hughes is a company, not a government body or publicly-funded program, so it's not GVC. However, the lack of available description makes it difficult to definitively classify it as CVC, IVC, Impact_VC, Bank_VC, Angel_Network, University_VC, or OTHER. As for green focus, there is no information",1520,Baker Hughes
OTHER,TRADITIONAL,medium,low,"The investor is not clearly tied to one of the defined owner types. However, the focus on digitalization and strategic operational consulting suggests a potential IVC or CVC. Without more specific information about their investment portfolio or mission, it's difficult to confirm the exact type or gr",1569,Blue Lake Capital
OTHER,TRADITIONAL,low,low,"Lennar Ventures is not a government entity, corporation, university, bank, or angel network. However, without specific information about their focus areas, it's difficult to definitively classify them as GVC, CVC, IVC, Impact_VC, Bank_VC, Angel_Network, or University_VC. Similarly, without knowing t",1670,Lennar Ventures
PARSE_ERROR,PARSE_ERROR,low,low,"unparseable_response:  {
""investor_type"": ""IVC"",
""green_focus"": ""TRADITIONAL"",
""confidence_type"": ""low"",
""confidence_green"": ""low"",
""reasoning"": ""Bain & Company is a private management consulting firm, not associated with ",1685,Bain & Company
GVC,GREEN_VC,high,high,"WARF Ventures is a venture arm affiliated with the University of Wisconsin-Madison, which falls under the category of University_VC. However, since it's part of a public university, it is classified as GVC.",1742,WARF Ventures
OTHER,TRADITIONAL,high,medium,"Felix Jahn is an angel investor, making him part of the Angel_Network category. While he has investments in companies like Auto1, Zalando, and HomeToGo which may have some green initiatives, there's no clear indication that his focus is on green or ESG-aligned ventures.",1768,Felix Jahn Beteiligungen
GVC,TRADITIONAL,medium,medium,"The investor 'Bank of Communications Financial Assets Investment' is a financial institution, which suggests it might be a bank. However, without specific information about its ownership or affiliations, it cannot be definitively classified as Bank_VC, IVC, Impact_VC, or Angel_Network. Since it is a",1814,Bank of Communications Financial Assets Investment
PARSE_ERROR,PARSE_ERROR,low,low,"unparseable_response:  {
""investor_type"": ""GVC"",
""green_focus"": ""TRADITIONAL"",
""confidence_type"": ""low"",
""confidence_green"": ""low"",
""reasoning"": ""No description provided for the investor, making it difficult to determine i",1842,John Clifford
OTHER,TRADITIONAL,low,low,"The provided data does not contain enough information to definitively classify the investor type or its focus. '3VENTURES' could be an independent venture capital firm (IVC), a corporate venture capital (CVC) if affiliated with a non-government company, or part of another category like University_VC",1854,3Ventures
OTHER,GREEN_VC,medium,high,"Deeptech Labs is not a government entity, corporation, university, bank, or angel network. However, the lack of specific information about its focus and structure makes it difficult to classify definitively as an IVC, Impact_VC, Bank_VC, or Angel_Network. Given the name 'Deeptech', it may have a foc",1862,Deeptech Labs
GVC,GREEN_VC,high,high,"Innogy Innovation Hub is a venture arm of Innogy SE, a German energy company. As it is affiliated with a private corporation, it falls under the category of CVC. However, since Innogy SE is a subsidiary of RWE AG, a German utility company that is majority-owned by the German government, Innogy Innov",1865,Innogy Innovation Hub
OTHER,TRADITIONAL,low,low,"The investor's name and description do not provide enough information to definitively classify it as a specific venture capital type. Presight Capital appears to be an independent private firm, but without further context, it cannot be categorically labeled as IVC, CVC, Impact_VC, or any other type.",1878,Presight Capital
OTHER,TRADITIONAL,low,low,"The investor 'TusStar Incubator' is not clearly tied to one owner type as per the provided rules. It seems to be an incubator, but further information is needed to confirm if it's government-funded (GVC), a university affiliated (University_VC), or another type.",1893,TusStar Incubator
GVC,GREEN_VC,high,high,"Syngenta Group Ventures is a venture capital arm of Syngenta, a Swiss multinational agrochemical and pharmaceutical company. As it's affiliated with a private corporation, it falls under the CVC category. However, since Syngenta is a private corporation owned by ChemChina (a Chinese state-owned chem",1916,Syngenta Group Ventures
GVC,TRADITIONAL,medium,medium,"The name Helmerich & Payne suggests it is a private company, but without a description, it's difficult to definitively classify it as CVC. However, given the lack of information about its focus or mission, I would classify it as TRADITIONAL for now.",1920,Helmerich & Payne
OTHER,GREEN_VC,high,high,"The investor 'Climate Angels' is a climate-tech focused fund, which suggests it is an independent venture capital firm (IVC). However, its focus on climate technology aligns it more with Green Venture Capital (GVC) due to the specific focus on climate-related startups. The name does not indicate any",1931,Climate Angels
OTHER,GREEN_VC,medium,high,"Norrsken Launcher is not a government entity, corporation, university, bank, or angel network. It seems to be an independent venture capital firm focused on startups, which makes it an IVC by default. However, Norrsken Launcher's focus is on impact-driven and sustainable businesses, aligning with th",1941,Norrsken Launcher
GVC,TRADITIONAL,high,medium,"Toyota Tsusho is a Japanese trading company that is part of the Toyota Group. Given its affiliation with a major corporation, it is classified as CVC according to the rules. However, since Toyota Group's primary business is not venture capital but automotive manufacturing, the GVC classification has",1957,Toyota Tsusho
GVC,TRADITIONAL,high,low,"La Maison des startups is a family-run group affiliated with LVMH, a luxury goods conglomerate. As it is not a government body, it does not fall under the GVC category. However, since LVMH is a private corporation, it is classified as CVC or IVC. Given that there is no explicit focus on green or cli",1980,La Maison des startups
OTHER,GREEN_VC,medium,high,"The name Xinrui Venture Capital does not clearly indicate any specific ownership type, making it an OTHER investor. However, given the focus on venture capital investments and the lack of information suggesting a government or corporate affiliation, it's likely to be a private independent firm (IVC)",1993,Xinrui Venture Capital
OTHER,GREEN_VC,medium,high,"Vectr Ventures' name does not indicate a clear affiliation with any specific type of investor. However, considering its description 'Vectr Dev', it seems to be involved in technology development which could suggest an Independent Venture Capital (IVC) or other type of venture capital. Given the lack",2027,Vectr Ventures
GVC,GREEN_VC,high,high,"The Indigram Labs Foundation is not associated with a specific corporation, university, bank or angel network. Given that it's a foundation, it falls under the category of Impact_VC. However, since it's not a private, non-government mission-driven fund but rather a foundation, it's classified as GVC",2033,Indigram Labs Foundation
GVC,GREEN_VC,high,high,"The investor 'Nanometer Venture' does not have a clear affiliation with a private corporation, university, bank, or angel network. Given that it is a venture fund, it is most likely government-funded (GVC), as there are no indications of being ESG aligned, impact-driven, or a commercial/investment b",2088,Nanometer Venture
OTHER,TRADITIONAL,low,low,"The name 'LAUNCH Accelerator' does not provide clear indications of the investor type. Without a description or more context, it cannot be definitively classified as GVC, CVC, IVC, Impact_VC, Bank_VC, Angel_Network, University_VC, or OTHER.",2094,LAUNCH Accelerator
OTHER,TRADITIONAL,low,low,"The description provided does not provide enough information to definitively classify the investor type or its focus. The sale of MiLA Capital on Spaceship suggests it might be an independent venture capital firm (IVC), but without further context, this is only a low confidence assessment.",2157,MiLA Capital
GVC,GREEN_VC,high,high,"The KTH Royal Institute of Technology Endowment is affiliated with a specific university, making it a University_VC. However, since it's part of a government institution (KTH being a Swedish technical university), it falls under the GVC category.",2165,KTH Royal Institute of Technology Endowment
OTHER,GREEN_VC,high,high,"The investor 'Brainforest' is leveraging science, technology, entrepreneurship and indigenous knowledge, which suggests an independent venture (IVC). However, the description does not indicate any affiliation with a government body, corporation, university, bank or angel network. Therefore, it falls",2167,Brainforest
OTHER,TRADITIONAL,low,low,"The provided description 'Heading towards the knowledge age' does not provide enough information to definitively classify this investor as a specific type. It could be an independent venture capitalist (IVC), an angel investor, or even a government-affiliated venture capitalist (GVC) if it is part o",2208,Albert Wenger
IVC,GREEN_VC,high,high,"Green Artha is an independent private firm not owned by government, a corporation, university, or bank. It focuses on climate investment and innovation, making it a mission-driven fund (Impact_VC). However, given its specific focus on climate, the green focus is high.",2213,Green Artha
GVC,GREEN_VC,high,high,"The UCL Technology Fund is a venture capital fund associated with University College London (UCL), making it a University_VC. However, since UCL is a public university funded by the government, this fund falls under the category of GVC.",2236,UCL Technology Fund
OTHER,GREEN_VC,medium,high,"The investor's name, Alpha Wave Global, does not clearly indicate a specific type of venture capital investor. However, the description mentions satellite broadband which could imply a focus on technology and innovation, potentially making it an independent private firm (IVC). Given the context of t",2278,Alpha Wave Global
CVC,TRADITIONAL,high,low,"Archer Daniels Midland is a private corporation, so it falls under the category of CVC. However, without specific information about their investment focus, we can't definitively classify their green focus as GREEN_VC or ESG_ALIGNED.",2305,Archer Daniels Midland
OTHER,TRADITIONAL,medium,medium,"The name Yunqi Partners does not clearly indicate a specific type of venture capital investor. It could be an independent private firm (IVC), but without further context, it's difficult to confirm this definitively.",2327,Yunqi Partners
GVC,GREEN_VC,high,high,"Air Liquide Venture Capital is a venture capital arm of Air Liquide, a French multinational industrial gas company. As it is a subsidiary of a private corporation, it falls under the CVC category. However, since Air Liquide is a non-government entity, it cannot be classified as such. Given that Air ",2330,Air Liquide Venture Capital
GVC,TRADITIONAL,medium,medium,"The name 'M&G' does not provide a clear indication of the investor type. However, given that it is a financial institution, it could potentially be a GVC or Bank_VC. Without more specific information about its nature and funding sources, the classification remains medium confidence.",2331,M&G
University_VC,GREEN_VC,high,high,"The investor is Cornell's Incubator for Life Science Companies, which is affiliated with a specific university. Additionally, the focus on life sciences suggests a green or ESG-aligned focus.",2370,Center for Life Science Ventures
OTHER,GREEN_VC,medium,high,"The investor's name suggests a focus on regional activities and innovation, which could indicate an independent venture capital firm (IVC). However, the emphasis on supporting companies that contribute to the future of the region leans towards it being an OTHER type, as this aligns with the mission ",2392,Kyoshin Social Capital
OTHER,TRADITIONAL,low,low,"UniCredit is a bank, but it's not clear if it has a venture capital arm. Without more specific information about its ventures, it cannot be definitively classified as CVC or IVC.",2393,UniCredit
GVC,GREEN_VC,high,high,"Haniel is a leading purpose-driven investor, which suggests it is an independent private firm (IVC). However, the fact that it aims to create value for generations indicates a possible government or public backing, making it a GVC.",2400,Franz Haniel & Cie
GVC,GREEN_VC,high,high,"The Bridford Group is not associated with a specific company, university, bank, or angel network. Given that it's a group, it could potentially be an OTHER type. However, since it's not clearly tied to one owner type and given the lack of information about its nature, it's classified as GVC due to t",2430,Bridford Group
OTHER,TRADITIONAL,low,low,"The investor name 'Changde Caixin Financial Holding' does not match any specific investor type from the provided rules. It is a financial holding company, but without further information it cannot be definitively classified as GVC, CVC, IVC, Impact_VC, Bank_VC, Angel_Network, or University_VC.",2491,Changde Caixin Financial Holding
OTHER,GREEN_VC,medium,high,"LDV Partners is an independent venture capital firm, but the lack of specific information about its ownership or affiliation makes it difficult to definitively classify it as IVC. However, given their focus on clean energy and sustainability projects, they are classified as a Green VC.",2495,LDV Partners
GVC,GREEN_VC,high,high,"Joint Effects is a Venture Capital firm, and as it's not associated with a specific company, university, bank or angel network, it falls under the category of Independent Private VC (IVC). However, since it's a government-funded program, it takes priority over IVC and is classified as GVC.",2592,Joint Effects
OTHER,TRADITIONAL,low,low,"The name and description do not provide clear indications of the investor type or green focus. The name 'Jianxin Financial Asset Investment' could refer to a variety of entities, including a private investment firm (IVC), bank (Bank_VC), or other financial institution. Without additional context, it",2623,Jianxin Financial Asset Investment
GVC,GREEN_VC,high,high,"Cambridge Companies SPG is a venture capital investor affiliated with the University of Cambridge, making it a University_VC. However, since it's part of the university, it falls under the GVC category as it is publicly funded by a government body.",2663,Cambridge Companies SPG
OTHER,GREEN_VC,medium,high,"Good Ventures is a philanthropic organization, not a government entity, corporation, university, bank, or angel network. However, the lack of description provided makes it difficult to definitively classify it as an Impact_VC or other type of private fund.",2683,Good Ventures
OTHER,TRADITIONAL,low,low,"Lori Greiner is an inventor and entrepreneur who appears on the TV show Shark Tank, where she invests in companies. However, there's no clear indication that she operates as a government venture capitalist (GVC), corporate venture capitalist (CVC), independent venture capitalist (IVC), impact ventur",2710,Lori Greiner
GVC,TRADITIONAL,high,low,"Shikoku Electric Power is a utility company owned by the Japanese government, making it a GVC. However, without specific information about its investment focus, we cannot definitively classify it as GREEN_VC or TRADITIONAL.",2711,Shikoku Electric Power
GVC,TRADITIONAL,high,low,"Orlen VC is the largest venture capital fund in Poland, which is a government entity as it's the largest company in Poland. Although it doesn't explicitly state its focus on green or climate projects, it being a GVC takes priority over Impact_VC or IVC.",2732,Orlen VC
GVC,GREEN_VC,high,high,"The investor 'Agri Investment Fund' is a private equity and venture capital fund of the Boerenbond group, which suggests it is an IVC. However, given that it is funded by a specific agricultural cooperative (Boerenbond), it falls under GVC category as it is publicly funded or run by a government bod",2757,Agri Investment Fund
OTHER,TRADITIONAL,low,low,"The name Saltwater Capital does not provide clear indications of its type. It is located in Honolulu, HI, but there's no information suggesting it is a government entity (GVC), a corporation (CVC), a university (University_VC), an independent private firm (IVC), an impact fund (Impact_VC), a bank (B",2808,Saltwater Capital
GVC,TRADITIONAL,medium,medium,"Decisive Point is a venture capital firm that invests in dual-use technology startups and offers government contract consulting services. While the focus on dual-use technology could potentially indicate a CVC or IVC, the provision of government contract consulting services suggests a closer relatio",2878,Decisive Point
